num_clients,run,elapsed_ms
1,1,4.0
1,2,5.0
1,3,4.0
1,4,3.0
1,5,4.0
5,1,2.4
5,2,3.4
5,3,3.8
5,4,3.4
5,5,5.6
9,1,4.111111111111111
9,2,3.5555555555555554
9,3,2.7777777777777777
9,4,2.2222222222222223
9,5,8.666666666666666
13,1,7.846153846153846
13,2,6.615384615384615
13,3,3.8461538461538463
13,4,8.076923076923077
13,5,5.538461538461538
17,1,5.235294117647059
17,2,4.882352941176471
17,3,4.294117647058823
17,4,4.294117647058823
17,5,5.647058823529412
21,1,5.095238095238095
21,2,7.476190476190476
21,3,6.523809523809524
21,4,6.714285714285714
21,5,3.0952380952380953
25,1,8.44
25,2,2.28
25,3,3.2
25,4,2.36
25,5,4.48
29,1,7.068965517241379
29,2,5.931034482758621
29,3,4.896551724137931
29,4,5.620689655172414
29,5,2.4827586206896552
