c,run,jfi
1,1,0.8208811646251523
1,2,0.9807415684070021
1,3,0.967648491545875
1,4,0.90229041426667
1,5,0.8512101102432372
5,1,0.9124432114508458
5,2,0.8147894940496703
5,3,0.9047889612125726
5,4,0.9063029119943175
5,5,0.9051517050423888
9,1,0.9045430759273148
9,2,0.9060957088982348
9,3,0.905867140499691
9,4,0.9047993692919918
9,5,0.8098409734620143
13,1,0.9068910560374108
13,2,0.9054871052278719
13,3,0.903307454946244
13,4,0.9051496831636656
13,5,0.904135476810423
17,1,0.9036257486736661
17,2,0.9034372300653851
17,3,0.8064154113651222
17,4,0.8071899883145702
17,5,0.903561830528242
21,1,0.9033580876806192
21,2,0.9043000054797923
21,3,0.9035132102526503
21,4,0.8064675187638448
21,5,0.9033218371335368
25,1,0.8057491868060447
25,2,0.9037290967356588
25,3,0.9034954819898864
25,4,0.9038018946055414
25,5,0.9034207027960387
29,1,0.9037525906325597
29,2,0.9030598066400517
29,3,0.9030804097798811
29,4,0.9028895344370268
29,5,0.8047020053327575
33,1,0.8055250287640764
33,2,0.9039129152314918
33,3,0.8050201385861769
33,4,0.8045275049377714
33,5,0.804083000031766
37,1,0.8073121319653274
37,2,0.9026850087014171
37,3,0.9026345919493783
37,4,0.9026854420951673
37,5,0.9027407995563762
41,1,0.9030156110796365
41,2,0.9057817218840278
41,3,0.8039495258094201
41,4,0.9029405021573146
41,5,0.9031682261210804
45,1,0.9029627610343209
45,2,0.9027460318112105
45,3,0.9032627263503356
45,4,0.9027727795325963
45,5,0.903140299487919
49,1,0.9030393246784469
49,2,0.9030740780265569
49,3,0.9028770917935509
49,4,0.8031377657754071
49,5,0.9027478938144425
